"","phage_seq","Source","Isolation","DetailedIsolation","Genus","Isolate.ID","Sequencing.ID","Closest.ID","Bac.size","BD.Inhibition","fullseq","length.checkv","max_score","max_score_group","hallmark","viral","cellular","prediction","rd","phage_filt","og_phage_seq","genome","secondary_cluster","representative"
"11","amPh_110","Amphibian","Amphibian","Amphibian","Stenotrophomonas","CC4G1","LBS47","Stenotrophomonas rhizophila strain QL-P4",4216474,0.73,"amPh_110.fna",36382,0.927,"dsDNAphage",15,27.8,22.5,"virus","rd1","phage_pass","LB_S47_6||0_partial_1","amPh_110.fna","44_0","reference_phage"
"12","amPh_111","Amphibian","Amphibian","Amphibian","Streptomyces","CC3C","LBS48","Streptomyces sp. RLB1-8",8912289,0.01,"amPh_111.fna",50959,0.973,"dsDNAphage",5,25.7,11.9,"virus","rd1","phage_pass","LB_S48_32||0_partial_1","amPh_111.fna","58_0","reference_phage"
"13","amPh_112","Amphibian","Amphibian","Amphibian","Streptomyces","CC3C","LBS48","Streptomyces sp. RLB1-8",8912289,0.01,"amPh_112.fna",58367,0.927,"dsDNAphage",7,23.8,13.9,"virus","rd1","phage_pass","LB_S48_55||0_partial_1","amPh_112.fna","59_0","reference_phage"
"14","amPh_113","Amphibian","Amphibian","Amphibian","Streptomyces","CC6O","LBS50","Streptomyces sp. ICC4",8530115,0.31,"amPh_113.fna",36991,0.893,"dsDNAphage",6,24.7,23.4,"virus","rd2","phage_pass","LB_S50_36||0_partial_1","amPh_113.fna","60_0","reference_phage"
"15","amPh_114","Amphibian","Amphibian","Amphibian","Streptomyces","CC6O","LBS50","Streptomyces sp. ICC4",8530115,0.31,"amPh_114.fna",49942,0.907,"dsDNAphage",7,24.6,16.7,"virus","rd1","phage_pass","LB_S50_5||0_partial_1","amPh_114.fna","61_0","reference_phage"
"16","amPh_19","Amphibian","Amphibian","Amphibian","Janthinobacterium","HP6A","JWS06","Janthinobacterium lividum strain DSM 1522",6238595,1.03,"amPh_19.fna",31233,0.9,"dsDNAphage",4,15.6,35.6,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","JWS06_2||0_partial","amPh_19.fna","63_0","reference_phage"
"17","amPh_20","Amphibian","Amphibian","Amphibian","Janthinobacterium","HP6A","JWS06","Janthinobacterium lividum strain DSM 1522",6238595,1.03,"amPh_20.fna",15311,0.893,"dsDNAphage",3,27.9,25.6,"virus","rd2","phage_pass","JWS06_2||1_partial_1","amPh_20.fna","9_0","reference_phage"
"18","amPh_22","Amphibian","Amphibian","Amphibian","Pseudomonas","CC11G","JWS11","Pseudomonas flavescens strain NBRC 103044",5597247,0.83,"amPh_22.fna",15058,0.9,"dsDNAphage",1,15,32.5,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","JWS11_1||0_partial_1","amPh_22.fna","65_0","reference_phage"
"19","amPh_23","Amphibian","Amphibian","Amphibian","Pseudomonas","CC11G","JWS11","Pseudomonas flavescens strain NBRC 103044",5597247,0.83,"amPh_23.fna",28540,0.933,"dsDNAphage",17,35.2,20.9,"virus","rd1","phage_pass","JWS11_8||0_partial_1","amPh_23.fna","66_0","reference_phage"
"20","amPh_24","Amphibian","Amphibian","Amphibian","Serratia","PRE13A","JWS12","Hafnia alvei strain JCM 1666",4712681,1,"amPh_24.fna",55803,0.953,"dsDNAphage",17,34.3,33.7,"virus","rd1","phage_pass","JWS12_2||0_partial_1","amPh_24.fna","21_0","reference_phage"
"21","amPh_25","Amphibian","Amphibian","Amphibian","Serratia","PRE13A","JWS12","Hafnia alvei strain JCM 1666",4712681,1,"amPh_25.fna",31858,0.907,"dsDNAphage",18,30.9,31.7,"virus","rd1","phage_pass","JWS12_2||1_partial_1","amPh_25.fna","48_0","reference_phage"
"22","amPh_26","Amphibian","Amphibian","Amphibian","Serratia","PRE13A","JWS12","Hafnia alvei strain JCM 1666",4712681,1,"amPh_26.fna",95699,0.993,"dsDNAphage",30,52.7,14.4,"virus","rd1","phage_pass","JWS12_3||0_partial_1","amPh_26.fna","22_0","reference_phage"
"23","amPh_27","Amphibian","Amphibian","Amphibian","Serratia","PRE13A","JWS12","Hafnia alvei strain JCM 1666",4712681,1,"amPh_27.fna",20466,0.92,"dsDNAphage",16,24.8,35.5,"virus","rd1","phage_pass","JWS12_9||0_partial_1","amPh_27.fna","49_0","reference_phage"
"24","amPh_31","Amphibian","Amphibian","Amphibian","Stenotrophomonas","BFE40O","JWS14","Stenotrophomonas rhizophila strain e-p10",4535529,0.89,"amPh_31.fna",24272,0.987,"dsDNAphage",17,68.8,15.6,"virus","rd1","phage_pass","JWS14_11||0_partial","amPh_31.fna","69_0","reference_phage"
"25","amPh_32","Amphibian","Amphibian","Amphibian","Stenotrophomonas","BFE40O","JWS14","Stenotrophomonas rhizophila strain e-p10",4535529,0.89,"amPh_32.fna",12311,0.967,"dsDNAphage",1,27.8,11.1,"virus","rd1","phage_pass","JWS14_17||0_partial","amPh_32.fna","70_0","reference_phage"
"26","amPh_33","Amphibian","Amphibian","Amphibian","Stenotrophomonas","BFE40O","JWS14","Stenotrophomonas rhizophila strain e-p10",4535529,0.89,"amPh_33.fna",10037,0.993,"dsDNAphage",5,40.9,4.5,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","JWS14_44||full","amPh_33.fna","46_2","reference_phage"
"27","amPh_34","Amphibian","Amphibian","Amphibian","Stenotrophomonas","BFE40O","JWS14","Stenotrophomonas rhizophila strain e-p10",4535529,0.89,"amPh_34.fna",43003,0.953,"dsDNAphage",9,33.3,12,"virus","rd1","phage_pass","JWS14_4||0_partial_1","amPh_34.fna","45_0","reference_phage"
"28","amPh_35","Amphibian","Amphibian","Amphibian","Streptomyces","CC1V","JWS15","Streptomyces gardneri strain NBRC 12865",6456491,0.94,"amPh_35.fna",69533,0.967,"dsDNAphage",8,26.1,2.7,"virus","rd1","phage_pass","JWS15_1||full","amPh_35.fna","71_0","reference_phage"
"29","amPh_36","Amphibian","Amphibian","Amphibian","Streptomyces","CC1V","JWS15","Streptomyces gardneri strain NBRC 12865",6456491,0.94,"amPh_36.fna",19414,0.933,"dsDNAphage",5,21.4,4.8,"virus","rd1","phage_pass","JWS15_2||0_partial_1","amPh_36.fna","72_0","reference_phage"
"30","amPh_40","Amphibian","Amphibian","Amphibian","Agrobacterium","HP11E","LBS02","Agrobacterium rubi strain W2/73",4688830,0.91,"amPh_40.fna",29152,0.953,"dsDNAphage",10,42.6,22.1,"virus","rd1","phage_pass","LB_S02_10||0_partial_1","amPh_40.fna","35_2","reference_phage"
"31","amPh_41","Amphibian","Amphibian","Amphibian","Agrobacterium","HP11E","LBS02","Agrobacterium rubi strain W2/73",4688830,0.91,"amPh_41.fna",66608,0.947,"dsDNAphage",16,30.2,10.1,"virus","rd1","phage_pass","LB_S02_15||full_1","amPh_41.fna","37_1","NO"
"32","amPh_42","Amphibian","Amphibian","Amphibian","Agrobacterium","HP11E","LBS02","Agrobacterium rubi strain W2/73",4688830,0.91,"amPh_42.fna",12329,0.92,"dsDNAphage",6,29.5,31.1,"virus","rd1","phage_pass","LB_S02_1||0_partial_1","amPh_42.fna","41_1","NO"
"33","amPh_43","Amphibian","Amphibian","Amphibian","Agrobacterium","HP11E","LBS02","Agrobacterium rubi strain W2/73",4688830,0.91,"amPh_43.fna",14945,0.947,"dsDNAphage",6,28,26.7,"virus","rd1","phage_pass","LB_S02_3||0_partial_1","amPh_43.fna","36_1","NO"
"34","amPh_44","Amphibian","Amphibian","Amphibian","Agrobacterium","HP11E","LBS02","Agrobacterium rubi strain W2/73",4688830,0.91,"amPh_44.fna",19313,0.92,"dsDNAphage",8,28,34,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","LB_S02_4||0_partial_1","amPh_44.fna","40_2","reference_phage"
"35","amPh_45","Amphibian","Amphibian","Amphibian","Agrobacterium","HP11E","LBS02","Agrobacterium rubi strain W2/73",4688830,0.91,"amPh_45.fna",5242,0.953,"dsDNAphage",1,66.7,0,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","LB_S02_89||full","amPh_45.fna","73_0","reference_phage"
"36","amPh_46","Amphibian","Amphibian","Amphibian","Agrobacterium","HP5J1","LBS04","Agrobacterium rubi strain W2/73",4683883,0.1,"amPh_46.fna",18381,0.913,"dsDNAphage",8,27.7,36.2,"virus","rd1","phage_pass","LB_S04_1||0_partial_1","amPh_46.fna","40_3","reference_phage"
"37","amPh_47","Amphibian","Amphibian","Amphibian","Agrobacterium","HP5J1","LBS04","Agrobacterium rubi strain W2/73",4683883,0.1,"amPh_47.fna",32023,0.96,"dsDNAphage",13,23.6,17.9,"virus","rd1","phage_pass","LB_S04_5||0_partial_1","amPh_47.fna","39_0","reference_phage"
"38","amPh_48","Amphibian","Amphibian","Amphibian","Agrobacterium","HP5J1","LBS04","Agrobacterium rubi strain W2/73",4683883,0.1,"amPh_48.fna",22217,0.927,"dsDNAphage",1,10.6,12.8,"virus","rd1","phage_pass","LB_S04_5||1_partial","amPh_48.fna","74_0","reference_phage"
"39","amPh_49","Amphibian","Amphibian","Amphibian","Agrobacterium","HP5J1","LBS04","Agrobacterium rubi strain W2/73",4683883,0.1,"amPh_49.fna",37937,0.9,"dsDNAphage",10,30.8,15.4,"virus","rd1","phage_pass","LB_S04_9||0_partial_1","amPh_49.fna","38_0","reference_phage"
"40","amPh_50","Amphibian","Amphibian","Amphibian","Bacillus","CC6U","LBS05","Bacillus megaterium strain FDU301",6147021,0.08,"amPh_50.fna",39374,1,"dsDNAphage",14,61.4,4.5,"virus","rd1","phage_pass","LB_S05_36||full","amPh_50.fna","75_0","reference_phage"
"41","amPh_51","Amphibian","Amphibian","Amphibian","Flavobacterium","HP3BB","LBS10","Flavobacterium sp HYN0086",4827149,0.62,"amPh_51.fna",37880,0.92,"dsDNAphage",2,24.4,18.6,"virus","rd1","phage_pass","LB_S10_1||0_partial_1","amPh_51.fna","34_1","reference_phage"
"42","amPh_52","Amphibian","Amphibian","Amphibian","Flavobacterium","HP3M","LBS11","Flavobacterium sp HYN0086",4826828,0.92,"amPh_52.fna",46412,0.9,"dsDNAphage",2,23,14.9,"virus","rd1","phage_pass","LB_S11_12||0_partial_1","amPh_52.fna","34_2","reference_phage"
"43","amPh_53","Amphibian","Amphibian","Amphibian","Hafnia","BFE23D","LBS12","Hafnia alvei",4761345,0.85,"amPh_53.fna",32247,0.973,"dsDNAphage",15,42.7,26.8,"virus","rd1","phage_pass","LB_S12_13||full_1","amPh_53.fna","76_0","reference_phage"
"44","amPh_54","Amphibian","Amphibian","Amphibian","Hafnia","BFE23D","LBS12","Hafnia alvei",4761345,0.85,"amPh_54.fna",41161,0.947,"dsDNAphage",12,31.9,31,"virus","rd1","phage_pass","LB_S12_14||0_partial_1","amPh_54.fna","28_1","reference_phage"
"45","amPh_55","Amphibian","Amphibian","Amphibian","Hafnia","BFE501","LBS13","Hafnia paralvei",5076382,0.94,"amPh_55.fna",26623,1,"dsDNAphage",1,53.3,4.4,"virus","rd1","phage_pass","LB_S13_25||0_partial","amPh_55.fna","23_0","reference_phage"
"46","amPh_56","Amphibian","Amphibian","Amphibian","Hafnia","BFE501","LBS13","Hafnia paralvei",5076382,0.94,"amPh_56.fna",34550,0.907,"dsDNAphage",1,15.7,29.4,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","LB_S13_26||0_partial","amPh_56.fna","77_0","reference_phage"
"47","amPh_57","Amphibian","Amphibian","Amphibian","Hafnia","BFE501","LBS13","Hafnia paralvei",5076382,0.94,"amPh_57.fna",23038,0.993,"dsDNAphage",12,70,0,"virus","rd1","phage_pass","LB_S13_32||full","amPh_57.fna","24_0","reference_phage"
"48","amPh_58","Amphibian","Amphibian","Amphibian","Hafnia","BFE501","LBS13","Hafnia paralvei",5076382,0.94,"amPh_58.fna",26812,0.987,"dsDNAphage",16,75.7,5.4,"virus","rd1","phage_pass","LB_S13_48||full","amPh_58.fna","20_2","reference_phage"
"49","amPh_59","Amphibian","Amphibian","Amphibian","Hafnia","BFE501","LBS13","Hafnia paralvei",5076382,0.94,"amPh_59.fna",22901,0.993,"dsDNAphage",14,59.5,18.9,"virus","rd1","phage_pass","LB_S13_4||0_partial_1","amPh_59.fna","30_0","reference_phage"
"50","amPh_60","Amphibian","Amphibian","Amphibian","Hafnia","BFE501","LBS13","Hafnia paralvei",5076382,0.94,"amPh_60.fna",25823,0.987,"dsDNAphage",12,60,14.3,"virus","rd1","phage_pass","LB_S13_5||0_partial_1","amPh_60.fna","28_2","reference_phage"
"51","amPh_61","Amphibian","Amphibian","Amphibian","Hafnia","PRE11D1","LBS14","Hafnia paralvei",5069997,0.82,"amPh_61.fna",24617,0.927,"dsDNAphage",10,26.2,42.9,"virus","rd1","phage_pass","LB_S14_19||0_partial_1","amPh_61.fna","27_1","reference_phage"
"52","amPh_62","Amphibian","Amphibian","Amphibian","Hafnia","PRE11D1","LBS14","Hafnia paralvei",5069997,0.82,"amPh_62.fna",15523,0.92,"dsDNAphage",5,38.6,22.7,"virus","rd1","phage_pass","LB_S14_19||1_partial_1","amPh_62.fna","26_1","reference_phage"
"53","amPh_63","Amphibian","Amphibian","Amphibian","Hafnia","PRE11D1","LBS14","Hafnia paralvei",5069997,0.82,"amPh_63.fna",51310,0.947,"dsDNAphage",18,46.7,24.6,"virus","rd1","phage_pass","LB_S14_25||full_1","amPh_63.fna","20_1","NO"
"54","amPh_64","Amphibian","Amphibian","Amphibian","Hafnia","PRE11D1","LBS14","Hafnia paralvei",5069997,0.82,"amPh_64.fna",7579,1,"dsDNAphage",4,58.3,0,"virus","rd1","phage_pass","LB_S14_3||full","amPh_64.fna","31_1","reference_phage"
"55","amPh_65","Amphibian","Amphibian","Amphibian","Hafnia","PRE11D1","LBS14","Hafnia paralvei",5069997,0.82,"amPh_65.fna",38157,0.907,"dsDNAphage",17,31.8,29,"virus","rd1","phage_pass","LB_S14_4||0_partial_1","amPh_65.fna","29_1","NO"
"56","amPh_66","Amphibian","Amphibian","Amphibian","Hafnia","PRE7B","LBS15","Hafnia paralvei",5071470,0.94,"amPh_66.fna",51310,0.947,"dsDNAphage",18,46.7,24.6,"virus","rd1","phage_pass","LB_S15_17||full_1","amPh_66.fna","20_1","NO"
"57","amPh_67","Amphibian","Amphibian","Amphibian","Hafnia","PRE7B","LBS15","Hafnia paralvei",5071470,0.94,"amPh_67.fna",7579,1,"dsDNAphage",4,58.3,0,"virus","rd1","phage_pass","LB_S15_23||full","amPh_67.fna","31_1","NO"
"58","amPh_68","Amphibian","Amphibian","Amphibian","Hafnia","PRE7B","LBS15","Hafnia paralvei",5071470,0.94,"amPh_68.fna",24617,0.927,"dsDNAphage",10,26.2,42.9,"virus","rd1","phage_pass","LB_S15_4||0_partial_1","amPh_68.fna","27_1","NO"
"59","amPh_69","Amphibian","Amphibian","Amphibian","Hafnia","PRE7B","LBS15","Hafnia paralvei",5071470,0.94,"amPh_69.fna",15523,0.92,"dsDNAphage",5,38.6,22.7,"virus","rd1","phage_pass","LB_S15_4||1_partial_1","amPh_69.fna","26_1","NO"
"60","amPh_70","Amphibian","Amphibian","Amphibian","Hafnia","PRE7B","LBS15","Hafnia paralvei",5071470,0.94,"amPh_70.fna",39387,0.94,"dsDNAphage",16,31.6,28.9,"virus","rd1","phage_pass","LB_S15_6||0_partial_1","amPh_70.fna","29_1","reference_phage"
"61","amPh_71","Amphibian","Amphibian","Amphibian","Hafnia","PRE7G","LBS16","Hafnia paralvei",5070609,0.99,"amPh_71.fna",24617,0.927,"dsDNAphage",10,26.2,42.9,"virus","rd1","phage_pass","LB_S16_13||0_partial_1","amPh_71.fna","27_1","NO"
"62","amPh_72","Amphibian","Amphibian","Amphibian","Hafnia","PRE7G","LBS16","Hafnia paralvei",5070609,0.99,"amPh_72.fna",15523,0.92,"dsDNAphage",5,38.6,22.7,"virus","rd1","phage_pass","LB_S16_13||1_partial_1","amPh_72.fna","26_1","NO"
"63","amPh_73","Amphibian","Amphibian","Amphibian","Hafnia","PRE7G","LBS16","Hafnia paralvei",5070609,0.99,"amPh_73.fna",7579,1,"dsDNAphage",4,58.3,0,"virus","rd1","phage_pass","LB_S16_18||full","amPh_73.fna","31_1","NO"
"64","amPh_74","Amphibian","Amphibian","Amphibian","Hafnia","PRE7G","LBS16","Hafnia paralvei",5070609,0.99,"amPh_74.fna",39387,0.94,"dsDNAphage",16,31.6,28.9,"virus","rd1","phage_pass","LB_S16_26||0_partial_1","amPh_74.fna","29_1","NO"
"65","amPh_75","Amphibian","Amphibian","Amphibian","Hafnia","PRE7G","LBS16","Hafnia paralvei",5070609,0.99,"amPh_75.fna",52153,0.947,"dsDNAphage",18,46.3,25.2,"virus","rd1","phage_pass","LB_S16_44||full_1","amPh_75.fna","20_1","reference_phage"
"66","amPh_76","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC11P","LBS20","Janthinobacterium lividum strain EIF1",6325103,0.98,"amPh_76.fna",39597,0.927,"dsDNAphage",7,45.8,8.5,"virus","rd1","phage_pass","LB_S20_10||0_partial_1","amPh_76.fna","13_0","reference_phage"
"67","amPh_77","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC11P","LBS20","Janthinobacterium lividum strain EIF1",6325103,0.98,"amPh_77.fna",32535,0.9,"dsDNAphage",17,32.2,24.4,"virus","rd1","phage_pass","LB_S20_13||0_partial_1","amPh_77.fna","16_0","reference_phage"
"68","amPh_78","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC11P","LBS20","Janthinobacterium lividum strain EIF1",6325103,0.98,"amPh_78.fna",66515,0.9,"dsDNAphage",10,30,16.9,"virus","rd1","phage_pass","LB_S20_4||0_partial_1","amPh_78.fna","11_0","reference_phage"
"69","amPh_79","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC11P","LBS20","Janthinobacterium lividum strain EIF1",6325103,0.98,"amPh_79.fna",20334,0.853,"dsDNAphage",5,26.5,22.4,"virus","rd2","phage_pass","LB_S20_4||1_partial_1","amPh_79.fna","10_0","reference_phage"
"70","amPh_80","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC130","LBS21","Janthinobacterium lividum strain EIF1",7787708,0.57,"amPh_80.fna",33995,0.953,"dsDNAphage",17,50.8,18,"virus","rd1","phage_pass","LB_S21_59||full_1","amPh_80.fna","18_0","reference_phage"
"71","amPh_81","Amphibian","Amphibian","Amphibian","Janthinobacterium","HP12P2","LBS22","Janthinobacterium lividum strain EIF1",6081024,1.01,"amPh_81.fna",9550,0.873,"dsDNAphage",3,45.5,0,"virus","rd2","phage_pass","LB_S22_108||full","amPh_81.fna","19_0","reference_phage"
"72","amPh_82","Amphibian","Amphibian","Amphibian","Janthinobacterium","HP12P2","LBS22","Janthinobacterium lividum strain EIF1",6081024,1.01,"amPh_82.fna",65077,0.913,"dsDNAphage",9,32.6,20,"virus","rd1","phage_pass","LB_S22_18||0_partial_1","amPh_82.fna","12_0","reference_phage"
"73","amPh_83","Amphibian","Amphibian","Amphibian","Janthinobacterium","HP12P2","LBS22","Janthinobacterium lividum strain EIF1",6081024,1.01,"amPh_83.fna",18074,0.9,"dsDNAphage",3,25,22.7,"virus","rd1","phage_pass","LB_S22_18||1_partial_1","amPh_83.fna","7_0","reference_phage"
"74","amPh_84","Amphibian","Amphibian","Amphibian","Janthinobacterium","HP12P2","LBS22","Janthinobacterium lividum strain EIF1",6081024,1.01,"amPh_84.fna",16570,0.993,"dsDNAphage",14,85.7,0,"virus","rd1","phage_pass","LB_S22_22||full","amPh_84.fna","14_0","reference_phage"
"75","amPh_85","Amphibian","Amphibian","Amphibian","Janthinobacterium","HP12P2","LBS22","Janthinobacterium lividum strain EIF1",6081024,1.01,"amPh_85.fna",18665,0.987,"dsDNAphage",14,78.3,8.7,"virus","rd1","phage_pass","LB_S22_40||full","amPh_85.fna","15_0","reference_phage"
"76","amPh_86","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC14D","LBS23","Janthinobacterium sp. HH102",6276716,0.36,"amPh_86.fna",34541,0.887,"dsDNAphage",18,36,27.9,"virus","rd2","phage_pass","LB_S23_18||0_partial_1","amPh_86.fna","17_0","reference_phage"
"77","amPh_87","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC14D","LBS23","Janthinobacterium sp. HH102",6276716,0.36,"amPh_87.fna",16688,0.92,"dsDNAphage",2,14.8,18,"virus","rd1","phage_pass","LB_S23_4||0_partial_1","amPh_87.fna","78_0","reference_phage"
"78","amPh_88","Amphibian","Amphibian","Amphibian","Janthinobacterium","CC14D","LBS23","Janthinobacterium sp. HH102",6276716,0.36,"amPh_88.fna",17541,0.873,"dsDNAphage",3,26,24,"virus","rd2","phage_pass","LB_S23_4||1_partial_1","amPh_88.fna","8_0","reference_phage"
"79","amPh_89","Amphibian","Amphibian","Amphibian","Massilia","HP1M","LBS27","masillia oculi strain CCUG 43427",5767644,1.06,"amPh_89.fna",36113,0.953,"dsDNAphage",6,36.4,19.3,"virus","rd1","phage_pass","LB_S27_12||0_partial_1","amPh_89.fna","79_0","reference_phage"
"80","amPh_90","Amphibian","Amphibian","Amphibian","Massilia","HP1M","LBS27","masillia oculi strain CCUG 43427",5767644,1.06,"amPh_90.fna",35677,0.933,"dsDNAphage",10,30,23.8,"virus","rd1","phage_pass","LB_S27_1||0_partial_1","amPh_90.fna","2_0","reference_phage"
"81","amPh_91","Amphibian","Amphibian","Amphibian","Massilia","HP4P","LBS28","masillia oculi strain CCUG 43427",5177753,0.96,"amPh_91.fna",44545,0.9,"dsDNAphage",10,34,35.8,"virus","rd1","phage_pass","LB_S28_21||0_partial_1","amPh_91.fna","1_1","reference_phage"
"82","amPh_92","Amphibian","Amphibian","Amphibian","Microbacterium","CC3Q","LBS31","microbacterium sp BH-3-3-3",3661248,0.04,"amPh_92.fna",38195,0.927,"dsDNAphage",6,20.5,19.3,"virus","rd1","phage_pass","LB_S31_7||0_partial_1","amPh_92.fna","80_0","reference_phage"
"83","amPh_93","Amphibian","Amphibian","Amphibian","Microbacterium","HP3T","LBS32","Microbacterium esteraromaticum strain B24",2848428,1,"amPh_93.fna",45985,0.933,"dsDNAphage",5,22.8,12.9,"virus","rd1","phage_pass","LB_S32_5||0_partial_1","amPh_93.fna","81_0","reference_phage"
"84","amPh_94","Amphibian","Amphibian","Amphibian","Pedobacter","HP10H","LBS34","pedobacter steynii strain DX 4",7804239,0.81,"amPh_94.fna",6635,0.987,"dsDNAphage",0,25,0,"virus","rd1","phage_pass","LB_S34_108||full","amPh_94.fna","82_0","reference_phage"
"85","amPh_95","Amphibian","Amphibian","Amphibian","Pedobacter","HP10H","LBS34","pedobacter steynii strain DX 4",7804239,0.81,"amPh_95.fna",91230,0.9,"dsDNAphage",6,25.9,18.9,"virus","rd1","phage_pass","LB_S34_3||0_partial_1","amPh_95.fna","83_0","reference_phage"
"86","amPh_96","Amphibian","Amphibian","Amphibian","Pedobacter","HP10H","LBS34","pedobacter steynii strain DX 4",7804239,0.81,"amPh_96.fna",16853,1,"dsDNAphage",1,42.9,0,"virus","rd1","phage_pass","LB_S34_52||full","amPh_96.fna","84_0","reference_phage"
"87","amPh_97","Amphibian","Amphibian","Amphibian","Pedobacter","HP3C","LBS35","Peodbacter sp. D749",6009023,-0.02,"amPh_97.fna",16245,0.94,"dsDNAphage",3,58.3,25,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","LB_S35_63||full","amPh_97.fna","85_0","reference_phage"
"88","amPh_98","Amphibian","Amphibian","Amphibian","Pedobacter","HP3C","LBS35","Peodbacter sp. D749",6009023,-0.02,"amPh_98.fna",18889,0.973,"dsDNAphage",3,21.9,15.6,"virus","rd1","phage_pass","LB_S35_7||0_partial","amPh_98.fna","86_0","reference_phage"
"89","amPh_99","Amphibian","Amphibian","Amphibian","Pedobacter","HP3Q1","LBS36","Pedobacter sp. G11",5152741,0.06,"amPh_99.fna",51609,0.9,"dsDNAphage",6,27.2,14.9,"virus","rd1","phage_pass","LB_S36_46||full_1","amPh_99.fna","87_0","reference_phage"
"90","janth_13","NCBI","Enviro","SoilPlantMaybe_Michigan","Janthinobacterium","H-24","GCA_001758635","Janthinobacterium lividum",6709653,NA,"janth_13.fna",30007,0.913,"dsDNAphage",4,17.1,22,"vibrant_not_run_or_didn't_like_it","rd1","phage_pass","GCA_001758635.1_64||0_partial","janth_13.fna","36_1","NO"
