Genome	Family	Number_genomes_hit	Max_ani	Max_prots	Max_prop
amPh_104	Duneviridae	1	32.927	1	0.01818181818181818
amPh_104	Schitoviridae	8	60.0	1	0.01818181818181818
amPh_104	Ackermannviridae	3	35.294	1	0.01818181818181818
amPh_104	Autographiviridae	16	44.444	1	0.01818181818181818
amPh_104	Mesyanzhinovviridae	3	30.769	1	0.01818181818181818
amPh_104	Orlajensenviridae	3	27.96	2	0.03636363636363636
amPh_104	Assiduviridae	2	32.836	1	0.01818181818181818
amPh_104	Forsetiviridae	1	25.084	1	0.01818181818181818
amPh_104	Herelleviridae	2	23.0	1	0.01818181818181818
amPh_105	Unclassified	184	60.759	10	0.20833333333333334
amPh_105	Straboviridae	50	42.366	2	0.041666666666666664
amPh_105	Myoviridae	99	57.895	11	0.22916666666666666
amPh_105	Podoviridae	23	52.778	2	0.041666666666666664
amPh_105	Casjensviridae	6	54.795	1	0.020833333333333332
amPh_105	Siphoviridae	117	50.649	4	0.08333333333333333
amPh_105	Peduoviridae	44	43.08571428571429	22	0.4583333333333333
amPh_105	Ackermannviridae	6	57.971	1	0.020833333333333332
amPh_105	Kyanoviridae	30	42.466	1	0.020833333333333332
amPh_105	Demerecviridae	2	27.381	1	0.020833333333333332
amPh_105	Autographiviridae	2	28.125	1	0.020833333333333332
amPh_105	Leisingerviridae	1	23.345	1	0.020833333333333332
amPh_105	Orlajensenviridae	1	31.298	1	0.020833333333333332
amPh_106	Unclassified	197	67.568	5	0.09615384615384616
amPh_106	Vilmaviridae	9	38.468	2	0.038461538461538464
amPh_106	Siphoviridae	291	64.865	7	0.1346153846153846
amPh_106	Suoliviridae	1	32.62	1	0.019230769230769232
amPh_106	Myoviridae	75	54.545	4	0.07692307692307693
amPh_106	Casjensviridae	13	57.333	2	0.038461538461538464
amPh_106	Kyanoviridae	2	30.994	1	0.019230769230769232
amPh_106	Podoviridae	22	64.865	2	0.038461538461538464
amPh_106	Ackermannviridae	6	62.667	1	0.019230769230769232
amPh_106	Demerecviridae	5	32.99	1	0.019230769230769232
amPh_106	Schitoviridae	1	29.197	1	0.019230769230769232
amPh_106	Orlajensenviridae	3	24.934	1	0.019230769230769232
amPh_106	Peduoviridae	8	53.846	1	0.019230769230769232
amPh_106	Naomviridae	1	28.866	1	0.019230769230769232
amPh_106	Drexlerviridae	1	28.67375	4	0.07692307692307693
amPh_106	Autographiviridae	6	39.655	1	0.019230769230769232
amPh_106	Molycolviridae	1	34.043	1	0.019230769230769232
amPh_107	Schitoviridae	19	51.479	1	0.02127659574468085
amPh_107	Unclassified	180	51.534	11	0.23404255319148937
amPh_107	Demerecviridae	11	40.116	1	0.02127659574468085
amPh_107	Podoviridae	28	52.0	1	0.02127659574468085
amPh_107	Myoviridae	54	48.571	13	0.2765957446808511
amPh_107	Siphoviridae	189	49.714	16	0.3404255319148936
amPh_107	Winoviridae	1	42.857	1	0.02127659574468085
amPh_107	Orlajensenviridae	3	27.459	1	0.02127659574468085
amPh_107	Ackermannviridae	3	40.698	1	0.02127659574468085
amPh_107	Graaviviridae	1	27.326	1	0.02127659574468085
amPh_107	Autographiviridae	3	38.462	1	0.02127659574468085
amPh_107	Intestiviridae	2	31.532	1	0.02127659574468085
amPh_107	Drexlerviridae	1	25.0	1	0.02127659574468085
amPh_107	Peduoviridae	2	26.573	1	0.02127659574468085
amPh_108	Unclassified	166	46.768	3	0.06521739130434782
amPh_108	Drexlerviridae	2	28.662	1	0.021739130434782608
amPh_108	Vilmaviridae	9	40.909	1	0.021739130434782608
amPh_108	Siphoviridae	266	54.264	7	0.15217391304347827
amPh_108	Myoviridae	86	38.6755	4	0.08695652173913043
amPh_108	Podoviridae	17	48.03	2	0.043478260869565216
amPh_108	Casjensviridae	22	26.223	2	0.043478260869565216
amPh_108	Peduoviridae	13	28.584	2	0.043478260869565216
amPh_108	Autographiviridae	6	39.623	1	0.021739130434782608
amPh_108	Schitoviridae	1	26.562	1	0.021739130434782608
amPh_108	Straboviridae	3	25.714	1	0.021739130434782608
amPh_108	Demerecviridae	2	25.0	1	0.021739130434782608
amPh_108	Mesyanzhinovviridae	1	20.9	1	0.021739130434782608
amPh_108	Herelleviridae	1	25.773	1	0.021739130434782608
amPh_109	Unclassified	248	58.0	6	0.125
amPh_109	Siphoviridae	267	54.798	4	0.08333333333333333
amPh_109	Mesyanzhinovviridae	12	35.658500000000004	3	0.0625
amPh_109	Drexlerviridae	38	43.59	2	0.041666666666666664
amPh_109	Suoliviridae	1	30.814	1	0.020833333333333332
amPh_109	Kyanoviridae	30	36.508	3	0.0625
amPh_109	Myoviridae	97	56.604	4	0.08333333333333333
amPh_109	Autographiviridae	72	49.63	1	0.020833333333333332
amPh_109	Herelleviridae	17	56.757	1	0.020833333333333332
amPh_109	Straboviridae	15	48.667	3	0.0625
amPh_109	Peduoviridae	18	52.083	3	0.0625
amPh_109	Podoviridae	38	54.286	2	0.041666666666666664
amPh_109	Salasmaviridae	6	50.685	1	0.020833333333333332
amPh_109	Schitoviridae	14	60.714	2	0.041666666666666664
amPh_109	Guelinviridae	3	32.5	1	0.020833333333333332
amPh_109	Ackermannviridae	3	53.846	1	0.020833333333333332
amPh_109	Pervagoviridae	1	29.565	1	0.020833333333333332
amPh_109	Zobellviridae	8	52.239	1	0.020833333333333332
amPh_109	Naomviridae	1	34.92166666666667	3	0.0625
amPh_109	Vilmaviridae	1	24.722	1	0.020833333333333332
amPh_109	Forsetiviridae	1	31.707	1	0.020833333333333332
amPh_109	Casjensviridae	1	39.13	1	0.020833333333333332
amPh_109	Demerecviridae	1	60.784	1	0.020833333333333332
amPh_109	Winoviridae	1	31.308	1	0.020833333333333332
amPh_109	Molycolviridae	1	34.677	1	0.020833333333333332
amPh_10	Siphoviridae	402	62.295	26	0.37681159420289856
amPh_10	Unclassified	355	62.712	10	0.14492753623188406
amPh_10	Myoviridae	151	68.182	12	0.17391304347826086
amPh_10	Mesyanzhinovviridae	12	30.750999999999998	3	0.043478260869565216
amPh_10	Drexlerviridae	40	60.526	3	0.043478260869565216
amPh_10	Casjensviridae	12	40.107	3	0.043478260869565216
amPh_10	Zierdtviridae	8	44.444	1	0.014492753623188406
amPh_10	Demerecviridae	5	24.262	1	0.014492753623188406
amPh_10	Podoviridae	75	61.75927272727272	11	0.15942028985507245
amPh_10	Peduoviridae	13	50.725	2	0.028985507246376812
amPh_10	Schitoviridae	13	36.066	2	0.028985507246376812
amPh_10	Vilmaviridae	3	34.548	2	0.028985507246376812
amPh_10	Autographiviridae	9	53.333	1	0.014492753623188406
amPh_10	Halomagnusviridae	1	31.298	1	0.014492753623188406
amPh_10	Ackermannviridae	4	49.383	1	0.014492753623188406
amPh_10	Steigviridae	1	39.181	1	0.014492753623188406
amPh_10	Suoliviridae	2	31.183	1	0.014492753623188406
amPh_10	Straboviridae	8	44.865	6	0.08695652173913043
amPh_10	Assiduviridae	3	35.1745	3	0.043478260869565216
amPh_10	Naomviridae	1	28.2705	2	0.028985507246376812
amPh_10	Aggregaviridae	1	34.422	2	0.028985507246376812
amPh_10	Pachyviridae	1	29.771	1	0.014492753623188406
amPh_10	Chaseviridae	1	25.751	1	0.014492753623188406
amPh_10	Zobellviridae	2	32.743	1	0.014492753623188406
amPh_10	Anaerodiviridae	1	34.8745	2	0.028985507246376812
amPh_10	Vertoviridae	1	31.008	1	0.014492753623188406
amPh_10	Molycolviridae	1	26.056	1	0.014492753623188406
amPh_10	Haloferuviridae	1	24.014	1	0.014492753623188406
amPh_110	Myoviridae	135	46.19	8	0.14035087719298245
amPh_110	Unclassified	434	56.25	13	0.22807017543859648
amPh_110	Siphoviridae	416	68.675	15	0.2631578947368421
amPh_110	Drexlerviridae	40	41.396	6	0.10526315789473684
amPh_110	Vilmaviridae	10	40.0	2	0.03508771929824561
amPh_110	Zierdtviridae	10	38.66	2	0.03508771929824561
amPh_110	Podoviridae	33	58.065	2	0.03508771929824561
amPh_110	Casjensviridae	3	61.184	1	0.017543859649122806
amPh_110	Duneviridae	1	37.387	1	0.017543859649122806
amPh_110	Autographiviridae	9	45.455	1	0.017543859649122806
amPh_110	Halomagnusviridae	1	25.0	1	0.017543859649122806
amPh_110	Mesyanzhinovviridae	1	49.351	1	0.017543859649122806
amPh_110	Ackermannviridae	3	45.0	1	0.017543859649122806
amPh_110	Schitoviridae	5	29.167	1	0.017543859649122806
amPh_110	Orlajensenviridae	3	28.6815	2	0.03508771929824561
amPh_110	Suoliviridae	1	32.759	1	0.017543859649122806
amPh_110	Steigviridae	2	43.158	1	0.017543859649122806
amPh_110	Straboviridae	5	35.323	1	0.017543859649122806
amPh_110	Peduoviridae	5	41.791	1	0.017543859649122806
amPh_110	Assiduviridae	3	31.414	2	0.03508771929824561
amPh_110	Herelleviridae	6	38.889	1	0.017543859649122806
amPh_110	Aggregaviridae	1	41.081	1	0.017543859649122806
amPh_110	Pachyviridae	1	28.713	1	0.017543859649122806
amPh_110	Forsetiviridae	1	30.496	1	0.017543859649122806
amPh_110	Vertoviridae	3	35.0	1	0.017543859649122806
amPh_110	Anaerodiviridae	1	33.571	1	0.017543859649122806
amPh_110	Druskaviridae	1	24.227	1	0.017543859649122806
amPh_110	Molycolviridae	1	28.351	1	0.017543859649122806
amPh_111	Unclassified	422	67.337	16	0.22535211267605634
amPh_111	Siphoviridae	370	60.87	17	0.23943661971830985
amPh_111	Vilmaviridae	13	53.043	3	0.04225352112676056
amPh_111	Suoliviridae	13	28.758	1	0.014084507042253521
amPh_111	Schitoviridae	8	63.462	2	0.028169014084507043
amPh_111	Podoviridae	37	48.649	3	0.04225352112676056
amPh_111	Myoviridae	73	51.301	3	0.04225352112676056
amPh_111	Herelleviridae	5	47.368	2	0.028169014084507043
amPh_111	Peduoviridae	9	44.444	1	0.014084507042253521
amPh_111	Demerecviridae	16	26.23	1	0.014084507042253521
amPh_111	Winoviridae	1	26.923	1	0.014084507042253521
amPh_111	Casjensviridae	4	48.649	1	0.014084507042253521
amPh_111	Orlajensenviridae	3	38.961	1	0.014084507042253521
amPh_111	Straboviridae	5	48.0	1	0.014084507042253521
amPh_111	Salasmaviridae	6	35.484	1	0.014084507042253521
amPh_111	Drexlerviridae	1	24.272	1	0.014084507042253521
amPh_111	Druskaviridae	2	26.652	1	0.014084507042253521
amPh_111	Guelinviridae	1	34.667	1	0.014084507042253521
amPh_111	Suolaviridae	1	27.273	1	0.014084507042253521
amPh_111	Ackermannviridae	1	27.219	1	0.014084507042253521
amPh_111	Autographiviridae	1	53.846	1	0.014084507042253521
amPh_112	Siphoviridae	349	60.317	10	0.10752688172043011
amPh_112	Unclassified	439	69.231	9	0.0967741935483871
amPh_112	Vilmaviridae	13	40.30575	4	0.043010752688172046
amPh_112	Straboviridae	19	45.679	2	0.021505376344086023
amPh_112	Suoliviridae	3	56.098	1	0.010752688172043012
amPh_112	Myoviridae	101	64.706	2	0.021505376344086023
amPh_112	Zierdtviridae	10	33.3695	4	0.043010752688172046
amPh_112	Podoviridae	29	60.51	1	0.010752688172043012
amPh_112	Peduoviridae	15	34.302	1	0.010752688172043012
amPh_112	Kyanoviridae	11	59.184	1	0.010752688172043012
amPh_112	Drexlerviridae	16	52.747	1	0.010752688172043012
amPh_112	Zobellviridae	5	55.172	1	0.010752688172043012
amPh_112	Ackermannviridae	3	41.509	1	0.010752688172043012
amPh_112	Schitoviridae	4	58.537	1	0.010752688172043012
amPh_112	Guelinviridae	1	60.811	1	0.010752688172043012
amPh_112	Demerecviridae	5	68.421	1	0.010752688172043012
amPh_112	Halomagnusviridae	1	41.096	1	0.010752688172043012
amPh_112	Casjensviridae	2	52.459	1	0.010752688172043012
amPh_112	Mesyanzhinovviridae	2	60.0	1	0.010752688172043012
amPh_112	Herelleviridae	15	40.741	2	0.021505376344086023
amPh_112	Pervagoviridae	1	27.419	1	0.010752688172043012
amPh_112	Autographiviridae	5	50.0	1	0.010752688172043012
amPh_112	Steigviridae	2	34.211	1	0.010752688172043012
amPh_112	Vertoviridae	3	31.308	1	0.010752688172043012
amPh_112	Anaerodiviridae	1	30.496	1	0.010752688172043012
amPh_112	Hafunaviridae	1	35.385	1	0.010752688172043012
amPh_112	Druskaviridae	1	44.286	1	0.010752688172043012
amPh_112	Molycolviridae	1	44.898	1	0.010752688172043012
amPh_112	Assiduviridae	1	26.966	1	0.010752688172043012
amPh_113	Unclassified	264	48.984	6	0.10909090909090909
amPh_113	Siphoviridae	327	67.857	26	0.4727272727272727
amPh_113	Demerecviridae	4	29.204	1	0.01818181818181818
amPh_113	Herelleviridae	18	43.961	2	0.03636363636363636
amPh_113	Peduoviridae	2	46.269	1	0.01818181818181818
amPh_113	Myoviridae	22	39.512	5	0.09090909090909091
amPh_113	Podoviridae	10	33.929	1	0.01818181818181818
amPh_113	Winoviridae	1	26.692	1	0.01818181818181818
amPh_113	Orlajensenviridae	3	24.437	2	0.03636363636363636
amPh_113	Vilmaviridae	1	41.071	1	0.01818181818181818
amPh_113	Autographiviridae	3	29.054	1	0.01818181818181818
amPh_113	Drexlerviridae	1	25.955666666666666	3	0.05454545454545454
amPh_113	Anaerodiviridae	1	26.842	1	0.01818181818181818
amPh_113	Pyrstoviridae	1	30.252	1	0.01818181818181818
amPh_114	Unclassified	498	71.429	16	0.25396825396825395
amPh_114	Straboviridae	52	37.594	2	0.031746031746031744
amPh_114	Myoviridae	111	63.043	4	0.06349206349206349
amPh_114	Casjensviridae	5	32.759	3	0.047619047619047616
amPh_114	Siphoviridae	304	60.0	20	0.31746031746031744
amPh_114	Zierdtviridae	10	35.71866666666667	4	0.06349206349206349
amPh_114	Schitoviridae	43	44.615	4	0.06349206349206349
amPh_114	Drexlerviridae	6	52.326	1	0.015873015873015872
amPh_114	Herelleviridae	52	45.333	3	0.047619047619047616
amPh_114	Demerecviridae	21	41.238	2	0.031746031746031744
amPh_114	Steigviridae	10	38.4615	2	0.031746031746031744
amPh_114	Autographiviridae	87	46.269	4	0.06349206349206349
amPh_114	Zobellviridae	11	42.647	4	0.06349206349206349
amPh_114	Podoviridae	66	58.462	4	0.06349206349206349
amPh_114	Guelinviridae	7	41.3455	3	0.047619047619047616
amPh_114	Kyanoviridae	49	36.582	3	0.047619047619047616
amPh_114	Mesyanzhinovviridae	12	35.294	3	0.047619047619047616
amPh_114	Salasmaviridae	4	43.939	1	0.015873015873015872
amPh_114	Ackermannviridae	13	34.579	1	0.015873015873015872
amPh_114	Chaseviridae	9	32.768	1	0.015873015873015872
amPh_114	Druskaviridae	2	24.0315	2	0.031746031746031744
amPh_114	Rountreeviridae	3	47.826	1	0.015873015873015872
amPh_114	Assiduviridae	1	38.095	1	0.015873015873015872
amPh_114	Vilmaviridae	13	40.85825	5	0.07936507936507936
amPh_114	Naomviridae	1	27.8425	2	0.031746031746031744
amPh_114	Hafunaviridae	1	29.519	2	0.031746031746031744
amPh_114	Molycolviridae	1	26.442500000000003	2	0.031746031746031744
amPh_114	Halomagnusviridae	1	26.804	1	0.015873015873015872
amPh_114	Intestiviridae	2	33.051	1	0.015873015873015872
amPh_114	Suoliviridae	3	49.0075	2	0.031746031746031744
amPh_114	Orlajensenviridae	2	38.793	1	0.015873015873015872
amPh_11	Unclassified	385	56.757	12	0.14285714285714285
amPh_11	Myoviridae	127	55.851	11	0.13095238095238096
amPh_11	Siphoviridae	400	57.971	30	0.35714285714285715
amPh_11	Mesyanzhinovviridae	12	35.2615	4	0.047619047619047616
amPh_11	Drexlerviridae	39	45.00216666666667	10	0.11904761904761904
amPh_11	Zierdtviridae	8	45.098	1	0.011904761904761904
amPh_11	Podoviridae	95	56.627875	8	0.09523809523809523
amPh_11	Casjensviridae	8	38.960499999999996	2	0.023809523809523808
amPh_11	Straboviridae	19	50.0	7	0.08333333333333333
amPh_11	Schitoviridae	10	44.186	2	0.023809523809523808
amPh_11	Vilmaviridae	3	43.1075	2	0.023809523809523808
amPh_11	Ackermannviridae	8	46.774	2	0.023809523809523808
amPh_11	Autographiviridae	12	53.333	1	0.011904761904761904
amPh_11	Steigviridae	1	39.766	1	0.011904761904761904
amPh_11	Peduoviridae	9	38.647	2	0.023809523809523808
amPh_11	Demerecviridae	2	48.684	1	0.011904761904761904
amPh_11	Assiduviridae	3	35.453500000000005	2	0.023809523809523808
amPh_11	Naomviridae	1	28.436	1	0.011904761904761904
amPh_11	Aggregaviridae	1	31.9235	2	0.023809523809523808
amPh_11	Pachyviridae	1	26.875	1	0.011904761904761904
amPh_11	Vertoviridae	1	26.393	1	0.011904761904761904
amPh_11	Molycolviridae	1	26.056	1	0.011904761904761904
amPh_12	Unclassified	296	75.0	12	0.16901408450704225
amPh_12	Myoviridae	179	68.946	12	0.16901408450704225
amPh_12	Kyanoviridae	47	29.442	3	0.04225352112676056
amPh_12	Zierdtviridae	8	36.145	1	0.014084507042253521
amPh_12	Podoviridae	23	49.08	2	0.028169014084507043
amPh_12	Siphoviridae	151	58.065	7	0.09859154929577464
amPh_12	Peduoviridae	44	63.55395652173913	23	0.323943661971831
amPh_12	Casjensviridae	3	38.542	1	0.014084507042253521
amPh_12	Straboviridae	39	46.08433333333333	3	0.04225352112676056
amPh_12	Drexlerviridae	25	36.765	1	0.014084507042253521
amPh_12	Vilmaviridae	3	62.42	1	0.014084507042253521
amPh_12	Herelleviridae	53	43.609	1	0.014084507042253521
amPh_12	Ackermannviridae	13	37.9535	2	0.028169014084507043
amPh_12	Autographiviridae	19	63.38	2	0.028169014084507043
amPh_12	Hafunaviridae	4	33.793	1	0.014084507042253521
amPh_12	Halomagnusviridae	1	31.098	1	0.014084507042253521
amPh_12	Zobellviridae	2	50.0	1	0.014084507042253521
amPh_12	Schitoviridae	1	40.0	1	0.014084507042253521
amPh_12	Steigviridae	1	38.012	1	0.014084507042253521
amPh_12	Demerecviridae	1	47.5	1	0.014084507042253521
amPh_12	Mesyanzhinovviridae	1	40.351	1	0.014084507042253521
amPh_12	Assiduviridae	2	35.714	1	0.014084507042253521
amPh_12	Aggregaviridae	1	39.521	1	0.014084507042253521
amPh_12	Crevaviridae	1	55.556	1	0.014084507042253521
amPh_12	Molycolviridae	1	28.003	2	0.028169014084507043
amPh_13	Unclassified	483	62.162	9	0.07377049180327869
amPh_13	Chaseviridae	14	27.85875	4	0.03278688524590164
amPh_13	Casjensviridae	9	42.593	2	0.01639344262295082
amPh_13	Siphoviridae	535	59.259	20	0.16393442622950818
amPh_13	Podoviridae	87	45.408	5	0.040983606557377046
amPh_13	Schitoviridae	27	40.789	3	0.02459016393442623
amPh_13	Myoviridae	169	69.486	10	0.08196721311475409
amPh_13	Autographiviridae	45	59.459	2	0.01639344262295082
amPh_13	Pachyviridae	1	38.426	1	0.00819672131147541
amPh_13	Drexlerviridae	38	29.420428571428573	7	0.05737704918032787
amPh_13	Demerecviridae	14	34.375	2	0.01639344262295082
amPh_13	Herelleviridae	23	56.757	3	0.02459016393442623
amPh_13	Mesyanzhinovviridae	9	36.63	3	0.02459016393442623
amPh_13	Salasmaviridae	5	45.161	1	0.00819672131147541
amPh_13	Druskaviridae	1	39.041	1	0.00819672131147541
amPh_13	Assiduviridae	2	38.318	1	0.00819672131147541
amPh_13	Suolaviridae	1	32.6415	2	0.01639344262295082
amPh_13	Peduoviridae	13	45.794	2	0.01639344262295082
amPh_13	Vertoviridae	2	34.815	1	0.00819672131147541
amPh_13	Orlajensenviridae	3	28.571	2	0.01639344262295082
amPh_13	Vilmaviridae	6	27.273	1	0.00819672131147541
amPh_13	Zobellviridae	2	38.462	2	0.01639344262295082
amPh_13	Ackermannviridae	6	40.5385	2	0.01639344262295082
amPh_13	Leisingerviridae	1	42.135	1	0.00819672131147541
amPh_13	Straboviridae	5	41.2625	2	0.01639344262295082
amPh_13	Steigviridae	1	29.9235	2	0.01639344262295082
amPh_13	Kyanoviridae	2	35.07366666666667	3	0.02459016393442623
amPh_13	Anaerodiviridae	2	31.0	1	0.00819672131147541
amPh_13	Forsetiviridae	1	28.011	2	0.01639344262295082
amPh_14	Myoviridae	78	66.359	6	0.12244897959183673
amPh_14	Unclassified	189	44.505	6	0.12244897959183673
amPh_14	Kyanoviridae	26	26.217	1	0.02040816326530612
amPh_14	Siphoviridae	330	52.7465	15	0.30612244897959184
amPh_14	Casjensviridae	4	47.059	1	0.02040816326530612
amPh_14	Schitoviridae	2	25.547	1	0.02040816326530612
amPh_14	Peduoviridae	13	41.313	1	0.02040816326530612
amPh_14	Podoviridae	28	61.29	3	0.061224489795918366
amPh_14	Autographiviridae	7	57.637	1	0.02040816326530612
amPh_14	Ackermannviridae	1	23.75	1	0.02040816326530612
amPh_14	Winoviridae	1	29.091	1	0.02040816326530612
amPh_14	Demerecviridae	2	29.032	1	0.02040816326530612
amPh_14	Orlajensenviridae	3	25.094	2	0.04081632653061224
amPh_14	Druskaviridae	1	30.638	1	0.02040816326530612
amPh_14	Mesyanzhinovviridae	3	26.861	1	0.02040816326530612
amPh_14	Assiduviridae	1	28.311	1	0.02040816326530612
amPh_14	Suolaviridae	1	35.87	1	0.02040816326530612
amPh_14	Naomviridae	1	29.7295	2	0.04081632653061224
amPh_14	Aggregaviridae	1	27.232	1	0.02040816326530612
amPh_14	Drexlerviridae	1	27.77025	4	0.08163265306122448
amPh_14	Straboviridae	1	20.939	1	0.02040816326530612
amPh_14	Molycolviridae	1	32.37	1	0.02040816326530612
amPh_15	Siphoviridae	259	59.091	6	0.23076923076923078
amPh_15	Unclassified	177	70.149	6	0.23076923076923078
amPh_15	Myoviridae	21	37.519999999999996	5	0.19230769230769232
amPh_15	Demerecviridae	8	30.208	1	0.038461538461538464
amPh_15	Orlajensenviridae	3	26.087	1	0.038461538461538464
amPh_15	Drexlerviridae	1	28.600749999999998	4	0.15384615384615385
amPh_16	Unclassified	230	69.388	6	0.3333333333333333
amPh_16	Myoviridae	22	36.285000000000004	5	0.2777777777777778
amPh_16	Siphoviridae	253	70.833	9	0.5
amPh_16	Zierdtviridae	1	38.3635	2	0.1111111111111111
amPh_16	Vilmaviridae	4	58.491	1	0.05555555555555555
amPh_16	Demerecviridae	12	34.831	2	0.1111111111111111
amPh_16	Podoviridae	4	63.158	1	0.05555555555555555
amPh_16	Orlajensenviridae	3	34.049	3	0.16666666666666666
amPh_16	Suolaviridae	1	32.353	1	0.05555555555555555
amPh_16	Drexlerviridae	1	29.3285	6	0.3333333333333333
amPh_16	Autographiviridae	1	53.333	1	0.05555555555555555
amPh_17	Myoviridae	36	47.727	6	0.2727272727272727
amPh_17	Unclassified	206	62.791	5	0.22727272727272727
amPh_17	Mesyanzhinovviridae	12	36.83233333333334	3	0.13636363636363635
amPh_17	Siphoviridae	241	62.162	11	0.5
amPh_17	Demerecviridae	17	35.484	3	0.13636363636363635
amPh_17	Casjensviridae	18	49.057	1	0.045454545454545456
amPh_17	Podoviridae	6	45.455	1	0.045454545454545456
amPh_17	Orlajensenviridae	3	30.1995	2	0.09090909090909091
amPh_17	Graaviviridae	1	26.554	1	0.045454545454545456
amPh_17	Ackermannviridae	1	34.921	1	0.045454545454545456
amPh_17	Drexlerviridae	1	30.4415	4	0.18181818181818182
amPh_17	Autographiviridae	4	38.725	1	0.045454545454545456
amPh_17	Molycolviridae	1	30.357	1	0.045454545454545456
amPh_18	Unclassified	112	55.147	2	0.09090909090909091
amPh_18	Drexlerviridae	38	41.727	1	0.045454545454545456
amPh_18	Straboviridae	28	48.252	1	0.045454545454545456
amPh_18	Autographiviridae	166	50.962	2	0.09090909090909091
amPh_18	Myoviridae	53	54.61	2	0.09090909090909091
amPh_18	Zobellviridae	11	48.592	1	0.045454545454545456
