"","Phylum","Class","Order","Family","Genus","iso_name","Num_of_phage","phage.length.sum","bac.size","percent"
"21","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Hafnia","LBS14",5,137186,5069997,2.70583986538848
"22","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Hafnia","LBS16",5,139259,5070609,2.74639594573354
"23","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Hafnia","LBS15",5,138416,5071470,2.72930728171516
"24","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Hafnia","LBS13",6,159747,5076382,3.14686719793743
"25","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","LBS36",1,51609,5152741,1.00158342909143
"26","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","LBS28",1,44545,5177753,0.86031527575765
"27","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","LBS37",0,0,5192781,0
"28","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","JWS07",0,0,5210595,0
"29","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","LBS09",0,0,5345135,0
"30","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","LBS38",0,0,5392608,0
"31","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","LBS29",0,0,5515830,0
"32","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","JWS11",2,43598,5597247,0.778918636251
"33","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","LBS06",0,0,5660893,0
"34","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","LBS07",0,0,5663361,0
"35","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","LBS27",2,71790,5767644,1.2447023429324
"36","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","LBS39",3,101545,5909532,1.71832557975826
"37","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","LBS35",2,35134,6009023,0.584687394273578
"38","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","LBS22",5,127936,6081024,2.10385619264124
"39","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","LBS08",0,0,6119460,0
"40","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","LBS05",1,39374,6147021,0.640537912592132
"41","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","JWS06",2,46544,6238595,0.746065420178742
"42","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","LBS23",3,68770,6276716,1.09563663546351
"43","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","LBS20",4,158981,6325103,2.51349266565303
"44","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","JWS15",2,88947,6456491,1.37763686188055
"45","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","LBS21",1,33995,7787708,0.436521246045691
"46","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","LBS34",3,114718,7804239,1.46994473131845
"47","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","LBS50",2,86933,8530115,1.01913045720955
"48","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","LBS48",2,109326,8912289,1.22668822790643
